Benchmark,Agent,Model,Acc,Cost,run_combined,file_combined,Date,run_id,matched_json,similarity
taubench_airline,HAL Generalist Agent,o4-mini-2025-04-16-low,0.22,20.156134,taubench_airline HAL Generalist Agent o4-mini-2025-04-16-low,taubench_airline HAL Generalist Agent (o4-mini-2025-04-16 low) ,2025-04-20,taubench_airline_hal_generalist_agent_o4mini20250416_low_1745166691,evals_live/taubench_airline_hal_generalist_agent_o4mini20250416_low_1745166691_UPLOAD.json,0.9717246738841543
taubench_airline,HAL Generalist Agent,o4-mini-2025-04-16-high,0.18,20.574886,taubench_airline HAL Generalist Agent o4-mini-2025-04-16-high,taubench_airline HAL Generalist Agent (o4-mini-2025-04-16 high) ,2025-04-20,taubench_airline_hal_generalist_agent_o4mini20250416_high_1745167079,evals_live/taubench_airline_hal_generalist_agent_o4mini20250416_high_1745167079_UPLOAD.json,0.9720474792343414
taubench_airline,HAL Generalist Agent,gpt-4.1-2025-04-14,0.16,17.84996,taubench_airline HAL Generalist Agent gpt-4.1-2025-04-14,taubench_airline HAL Generalist Agent (gpt-4.1-2025-04-14) ,2025-04-20,taubench_airline_hal_generalist_agent_gpt4120250414_1745167124,evals_live/taubench_airline_hal_generalist_agent_gpt4120250414_1745167124_UPLOAD.json,0.9816365769226996
taubench_airline,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,0.18,10.7299175,taubench_airline HAL Generalist Agent deepseek-ai/DeepSeek-V3,taubench_airline HAL Generalist Agent (deepseek-ai/DeepSeek-V3) ,2025-04-21,taubench_airline_hal_generalist_agent_deepseekaideepseekv3_1745263676,evals_live/taubench_airline_hal_generalist_agent_deepseekaideepseekv3_1745263676_UPLOAD.json,0.9764355208999682
taubench_airline,HAL Generalist Agent,claude-3-7-sonnet-20250219,0.56,42.105321,taubench_airline HAL Generalist Agent claude-3-7-sonnet-20250219,taubench_airline HAL Generalist Agent (claude-3-7-sonnet-20250219) ,2025-04-30,taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671,evals_live/taubench_airline_hal_generalist_agent_claude37sonnet20250219_1746038671_UPLOAD.json,0.964444414931245
taubench_airline,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,0.1,30.18,taubench_airline HAL Generalist Agent deepseek-ai/DeepSeek-R1,taubench_airline HAL Generalist Agent (deepseek-ai/DeepSeek-R1) ,2025-04-14,taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092,evals_live/taubench_airline_hal_generalist_agent_deepseekaideepseekr1_1744655092_UPLOAD.json,0.975902549058121
taubench_airline,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,0.44,34.581165,taubench_airline HAL Generalist Agent claude-3-7-sonnet-20250219-thinking-high,taubench_airline HAL Generalist Agent (claude-3-7-sonnet-20250219 high) ,2025-05-01,taubench_airline_hal_generalist_agent_claude37sonnet20250219_high_1746060636,evals_live/taubench_airline_hal_generalist_agent_claude37sonnet20250219_high_1746060636_UPLOAD.json,0.923633213568841
gaia,Open Deep Research,gpt-4.1-2025-04-14,0.503030303,109.87662,gaia Open Deep Research gpt-4.1-2025-04-14,gaia HF Open Deep Research (gpt-4.1-2025-04-14) ,2025-04-17,gaia_hf_open_deep_research_gpt4120250414_1744843595,evals_live/gaia_hf_open_deep_research_gpt4120250414_1744843595_UPLOAD.json,0.8781766162120752
gaia,Open Deep Research,gemini-2.0-flash,0.1939393939,18.8174954,gaia Open Deep Research gemini-2.0-flash,gaia HF Open Deep Research (gemini-2.0-flash) ,2025-04-17,gaia_hf_open_deep_research_gemini20flash_1744843220,evals_live/gaia_hf_open_deep_research_gemini20flash_1744843220_UPLOAD.json,0.9170871177240926
gaia,Open Deep Research,o3-mini-2025-01-31-low,,,gaia Open Deep Research o3-mini-2025-01-31-low,gaia HF Open Deep Research (o3-mini-2025-01-31 high) ,2025-04-16,gaia_hf_open_deep_research_o3mini20250131_high_1744843485,evals_live/gaia_hf_open_deep_research_o3mini20250131_high_1744843485_UPLOAD.json,0.898591870185725
gaia,Open Deep Research,o3-mini-2025-01-31-high,0.1818181818,57.2400532,gaia Open Deep Research o3-mini-2025-01-31-high,gaia HF Open Deep Research (o3-mini-2025-01-31 high) ,2025-04-16,gaia_hf_open_deep_research_o3mini20250131_high_1744843485,evals_live/gaia_hf_open_deep_research_o3mini20250131_high_1744843485_UPLOAD.json,0.9112649763282084
gaia,Open Deep Research,deepseek-ai/DeepSeek-V3,0.284848,76.639202,gaia Open Deep Research deepseek-ai/DeepSeek-V3,gaia HF Open Deep Research (deepseek-ai/DeepSeek-V3) ,2025-04-17,gaia_hf_open_deep_research_deepseekaideepseekv3_1744851680,evals_live/gaia_hf_open_deep_research_deepseekaideepseekv3_1744851680_UPLOAD.json,0.9157735110170091
gaia,Open Deep Research,deepseek-ai/DeepSeek-R1,0.248485,143.077684,gaia Open Deep Research deepseek-ai/DeepSeek-R1,gaia HF Open Deep Research (deepseek-ai/DeepSeek-R1) ,2025-04-17,gaia_hf_open_deep_research_deepseekaideepseekr1_1744851690,evals_live/gaia_hf_open_deep_research_deepseekaideepseekr1_1744851690_UPLOAD.json,0.9145405559290689
gaia,Open Deep Research,claude-3-7-sonnet-20250219,0.3696969697,415.151697,gaia Open Deep Research claude-3-7-sonnet-20250219,gaia HF Open Deep Research (claude-3-7-sonnet-20250219) ,2025-04-19,gaia_hf_open_deep_research_claude37sonnet20250219_1745000974,evals_live/gaia_hf_open_deep_research_claude37sonnet20250219_1745000974_UPLOAD.json,0.9175646202806536
gaia,Open Deep Research,claude-3-7-sonnet-20250219-thinking-high,0.357576,113.646582,gaia Open Deep Research claude-3-7-sonnet-20250219-thinking-high,gaia HF Open Deep Research (claude-3-7-sonnet-20250219) ,2025-04-19,gaia_hf_open_deep_research_claude37sonnet20250219_1745000974,evals_live/gaia_hf_open_deep_research_claude37sonnet20250219_1745000974_UPLOAD.json,0.8831833958338728
gaia,Open Deep Research,o4-mini-2025-04-16-low,0.478788,80.799796,gaia Open Deep Research o4-mini-2025-04-16-low,gaia HF Open Deep Research (o4-mini-2025-04-16 low) ,2025-04-17,gaia_hf_open_deep_research_o4mini20250416_low_1744921254,evals_live/gaia_hf_open_deep_research_o4mini20250416_low_1744921254_UPLOAD.json,0.9040442398358125
gaia,Open Deep Research,o3-2025-04-16,0.327273,681.96892,gaia Open Deep Research o3-2025-04-16,gaia HF Open Deep Research (o3-2025-04-16) ,2025-04-29,gaia_hf_open_deep_research_o320250416_1745876880,evals_live/gaia_hf_open_deep_research_o320250416_1745876880_UPLOAD.json,0.9100359874265761
gaia,Open Deep Research,o4-mini-2025-04-16-high,0.56,184.87,gaia Open Deep Research o4-mini-2025-04-16-high,gaia HF Open Deep Research (o4-mini-2025-04-16 high) ,2025-04-18,gaia_hf_open_deep_research_o4mini20250416_high_1744923206,evals_live/gaia_hf_open_deep_research_o4mini20250416_high_1744923206_UPLOAD.json,0.9079842085044363
gaia,HAL Generalist Agent,gemini-2.0-flash,0.327273,7.796711,gaia HAL Generalist Agent gemini-2.0-flash,gaia HAL Generalist Agent (gemini-2.0-flash) ,2025-04-16,gaia_hal_generalist_agent_gemini20flash_1744828175,evals_live/gaia_hal_generalist_agent_gemini20flash_1744828175_UPLOAD.json,0.9723514044236776
gaia,HAL Generalist Agent,gpt-4.1-2025-04-14,0.49697,74.18968,gaia HAL Generalist Agent gpt-4.1-2025-04-14,gaia HAL Generalist Agent (gpt-4.1-2025-04-14) ,2025-04-14,gaia_hal_generalist_agent_gpt4120250414_1744652581,evals_live/gaia_hal_generalist_agent_gpt4120250414_1744652581_UPLOAD.json,0.9748971144280085
gaia,HAL Generalist Agent,o3-mini-2025-01-31-low,0.339394,13.188021,gaia HAL Generalist Agent o3-mini-2025-01-31-low,gaia HAL Generalist Agent (o3-mini-2025-01-31 low) ,2025-04-14,gaia_hal_generalist_agent_o3mini20250131_1744609696,evals_live/gaia_hal_generalist_agent_o3mini20250131_1744609696_UPLOAD.json,0.9794287656149574
gaia,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,0.30303,73.192047,gaia HAL Generalist Agent deepseek-ai/DeepSeek-R1,gaia HAL Generalist Agent (deepseek-ai/DeepSeek-R1) ,2025-04-15,gaia_hal_generalist_agent_deepseekaideepseekr1_1744683894,evals_live/gaia_hal_generalist_agent_deepseekaideepseekr1_1744683894_UPLOAD.json,0.9762142279970507
gaia,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,0.363636,29.267833,gaia HAL Generalist Agent deepseek-ai/DeepSeek-V3,gaia HAL Generalist Agent (deepseek-ai/DeepSeek-R1) ,2025-04-15,gaia_hal_generalist_agent_deepseekaideepseekr1_1744683894,evals_live/gaia_hal_generalist_agent_deepseekaideepseekr1_1744683894_UPLOAD.json,0.9687814033538756
gaia,HAL Generalist Agent,o3-mini-2025-01-31-high,0.466667,30.367272,gaia HAL Generalist Agent o3-mini-2025-01-31-high,gaia HAL Generalist Agent (o3-mini-2025-01-31 high) ,2025-04-14,gaia_hal_generalist_agent_o3mini20250131_high_1744670471,evals_live/gaia_hal_generalist_agent_o3mini20250131_high_1744670471_UPLOAD.json,0.9776630784241274
gaia,HAL Generalist Agent,o4-mini-2025-04-16-low,0.581818,73.255774,gaia HAL Generalist Agent o4-mini-2025-04-16-low,gaia HAL Generalist Agent (o4-mini-2025-04-16 low) ,2025-04-23,gaia_hal_generalist_agent_o4mini20250416_low_1745167262,evals_live/gaia_hal_generalist_agent_o4mini20250416_low_1745167262_UPLOAD.json,0.9796113440846232
gaia,HAL Generalist Agent,o4-mini-2025-04-16-high,0.545455,59.39133,gaia HAL Generalist Agent o4-mini-2025-04-16-high,gaia HAL Generalist Agent (o4-mini-2025-04-16 high) ,2025-04-20,gaia_hal_generalist_agent_o4mini20250416_high_1745167285,evals_live/gaia_hal_generalist_agent_o4mini20250416_high_1745167285_UPLOAD.json,0.9793978623445112
gaia,HAL Generalist Agent,claude-3-7-sonnet-20250219,0.563636,130.678222,gaia HAL Generalist Agent claude-3-7-sonnet-20250219,gaia HAL Generalist Agent (claude-3-7-sonnet-20250219) ,2025-04-24,gaia_hal_generalist_agent_claude37sonnet20250219_1744772193,evals_live/gaia_hal_generalist_agent_claude37sonnet20250219_1744772193_UPLOAD.json,0.9698989168590588
gaia,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,0.642424,122.490232,gaia HAL Generalist Agent claude-3-7-sonnet-20250219-thinking-high,gaia HAL Generalist Agent (claude-3-7-sonnet-20250219 high) ,2025-04-25,gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242,evals_live/gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242_UPLOAD.json,0.9459740429762513
usaco,Reflexion,gemini-2.0-flash,0.2214983713,0.7501578,usaco Reflexion gemini-2.0-flash,gaia HF Open Deep Research (gemini-2.0-flash) ,2025-04-17,gaia_hf_open_deep_research_gemini20flash_1744843220,evals_live/gaia_hf_open_deep_research_gemini20flash_1744843220_UPLOAD.json,0.5793449689675904
usaco,Reflexion,gpt-4.1-2025-04-14,0.449511,28.095832,usaco Reflexion gpt-4.1-2025-04-14,usaco USACO Episodic + Semantic (gpt-4.1-2025-04-14) ,2025-04-14,usaco_usaco_episodic__semantic_gpt4120250414_1744661741,evals_live/usaco_usaco_episodic__semantic_gpt4120250414_1744661741_UPLOAD_mapped.json,0.5109935171182174
usaco,Reflexion,o3-mini-2025-01-31-low,0.351792,22.490527,usaco Reflexion o3-mini-2025-01-31-low,usaco USACO Episodic + Semantic (o3-mini-2025-01-31 low) ,2025-04-14,usaco_usaco_episodic__semantic_o3mini20250131_low_1744664227,evals_live/usaco_usaco_episodic__semantic_o3mini20250131_low_1744664227_UPLOAD_mapped.json,0.5615219921715515
usaco,Reflexion,deepseek-ai/DeepSeek-R1,0.381107,80.04351,usaco Reflexion deepseek-ai/DeepSeek-R1,usaco USACO Episodic + Semantic (deepseek-ai/DeepSeek-R1) ,2025-04-14,usaco_usaco_episodic__semantic_deepseekaideepseekr1_1744597968,evals_live/usaco_usaco_episodic__semantic_deepseekaideepseekr1_1744597968_UPLOAD_mapped.json,0.6469866004981186
usaco,Reflexion,deepseek-ai/DeepSeek-V3,0.390879,12.078695,usaco Reflexion deepseek-ai/DeepSeek-V3,usaco USACO Episodic + Semantic (deepseek-ai/DeepSeek-R1) ,2025-04-14,usaco_usaco_episodic__semantic_deepseekaideepseekr1_1744597968,evals_live/usaco_usaco_episodic__semantic_deepseekaideepseekr1_1744597968_UPLOAD_mapped.json,0.6570878906046508
usaco,Reflexion,o4-mini-2025-04-16-low,0.309446,21.142031,usaco Reflexion o4-mini-2025-04-16-low,usaco USACO Episodic + Semantic (o4-mini-2025-04-16 low) ,2025-05-04,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,evals_live/usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.json,0.5692669002701713
usaco,Reflexion,o4-mini-2025-04-16-high,0.579805,44.038361,usaco Reflexion o4-mini-2025-04-16-high,usaco USACO Episodic + Semantic (o4-mini-2025-04-16 low) ,2025-05-04,usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070,evals_live/usaco_usaco_episodic__semantic_o4mini20250416_low_1746039070_UPLOAD.json,0.5596737914073351
usaco,Reflexion,o3-mini-2025-01-31-high,0.498371,61.86,usaco Reflexion o3-mini-2025-01-31-high,usaco USACO Episodic + Semantic (o3-mini-2025-01-31 high) ,2025-04-15,usaco_usaco_episodic__semantic_o3mini20250131_high_1744751906,evals_live/usaco_usaco_episodic__semantic_o3mini20250131_high_1744751906_UPLOAD_mapped.json,0.5544816612254032
usaco,Reflexion,claude-3-7-sonnet-20250219,0.29316,38.704869,usaco Reflexion claude-3-7-sonnet-20250219,usaco USACO Episodic + Semantic (claude-3-7-sonnet-20250219) ,2025-04-17,usaco_usaco_episodic__semantic_claude37sonnet20250219_1744648510,evals_live/usaco_usaco_episodic__semantic_claude37sonnet20250219_1744648510_UPLOAD.json,0.6500390998962713
usaco,Reflexion,o3-2025-04-16,0.462541,286.50446,usaco Reflexion o3-2025-04-16,usaco USACO Episodic + Semantic (o3-2025-04-16) ,2025-04-29,usaco_usaco_episodic__semantic_o320250416_1745878600,evals_live/usaco_usaco_episodic__semantic_o320250416_1745878600_UPLOAD.json,0.5544254089045957
usaco,Reflexion,claude-3-7-sonnet-20250219-thinking-high,0.2671009772,56.427396,usaco Reflexion claude-3-7-sonnet-20250219-thinking-high,usaco USACO Episodic + Semantic (claude-3-7-sonnet-20250219 high) ,2025-04-17,usaco_usaco_episodic__semantic_claude37sonnet20250219_high_1744655395,evals_live/usaco_usaco_episodic__semantic_claude37sonnet20250219_high_1744655395_UPLOAD.json,0.6276110578915464
swebench-verified-mini,SWE-Agent,gpt-4o-2024-11-20,0.28,350.72,swebench-verified-mini SWE-Agent gpt-4o-2024-11-20,swebench_verified_mini SWE-Agent (gpt-4.1) gpt-4.1-2025-04-14,2025-04-15,swebench_verified_mini_my_agentgpt41_1744677207,evals_live/swebench_verified_mini_my_agentgpt41_1744677207_UPLOAD_mapped.json,0.9230321447617663
swebench-verified-mini,SWE-Agent,o3-mini-2025-01-31-medium,0.4,113.32,swebench-verified-mini SWE-Agent o3-mini-2025-01-31-medium,swebench_verified_mini SWE-Agent (o4-mini-2025-04-16) o4-mini-2025-04-16-medium,2025-04-23,swebench_verified_mini_my_agento4mini20250416_1745345781,evals_live/swebench_verified_mini_my_agento4mini20250416_1745345781_UPLOAD_mapped_mapped.json,0.9311953118135757
swebench-verified-mini,SWE-Agent,o3-mini-2025-01-31-high,0.46,182.3,swebench-verified-mini SWE-Agent o3-mini-2025-01-31-high,swebench_verified_mini SWE-Agent (o4-mini-2025-04-16) o4-mini-2025-04-16-medium,2025-04-23,swebench_verified_mini_my_agento4mini20250416_1745345781,evals_live/swebench_verified_mini_my_agento4mini20250416_1745345781_UPLOAD_mapped_mapped.json,0.9083332292678294
swebench-verified-mini,SWE-Agent,o3-mini-2025-01-31-low,0.3,64.19,swebench-verified-mini SWE-Agent o3-mini-2025-01-31-low,swebench_verified_mini SWE-Agent (o4-mini-2025-04-16) o4-mini-2025-04-16-medium,2025-04-23,swebench_verified_mini_my_agento4mini20250416_1745345781,evals_live/swebench_verified_mini_my_agento4mini20250416_1745345781_UPLOAD_mapped_mapped.json,0.9028734401416808
swebench-verified-mini,SWE-Agent,o3-2025-04-16,0.44,421.78,swebench-verified-mini SWE-Agent o3-2025-04-16,swebench_verified_mini SWE-Agent (o3-2025-04-16) o3-2025-04-03,2025-04-24,swebench_verified_mini_my_agento320250416_1745453708,evals_live/swebench_verified_mini_my_agento320250416_1745453708_UPLOAD_mapped_mapped.json,0.9314466503975622
swebench-verified-mini,SWE-Agent,o4-mini-2025-04-16-low,0.54,259.2,swebench-verified-mini SWE-Agent o4-mini-2025-04-16-low,swebench_verified_mini SWE-Agent (o4-mini-2025-04-16) o4-mini-2025-04-16-medium,2025-04-23,swebench_verified_mini_my_agento4mini20250416_1745345781,evals_live/swebench_verified_mini_my_agento4mini20250416_1745345781_UPLOAD_mapped_mapped.json,0.9219672611696508
swebench-verified-mini,SWE-Agent,o4-mini-2025-04-16-high,0.5,248.46,swebench-verified-mini SWE-Agent o4-mini-2025-04-16-high,swebench_verified_mini SWE-Agent (o4-mini-2025-04-16) o4-mini-2025-04-16-medium,2025-04-23,swebench_verified_mini_my_agento4mini20250416_1745345781,evals_live/swebench_verified_mini_my_agento4mini20250416_1745345781_UPLOAD_mapped_mapped.json,0.9256506171740915
swebench-verified-mini,SWE-Agent,claude-3-7-sonnet-20250219,0.5,402.0,swebench-verified-mini SWE-Agent claude-3-7-sonnet-20250219,swebench_verified_mini SWE-Agent (claude-3-7-sonnet-2025-02-19) claude-3-7-sonnet-20250219,2025-04-11,swebench_verified_mini_1744397462,evals_live/swebench_verified_mini_1744397462_UPLOAD_mapped_mapped.json,0.9142994199230405
swebench-verified-mini,SWE-Agent,claude-3-7-sonnet-20250219-thinking-high,0.54,388.0,swebench-verified-mini SWE-Agent claude-3-7-sonnet-20250219-thinking-high,swebench_verified_mini SWE-Agent (claude-3-7-sonnet-2025-02-19) claude-3-7-sonnet-20250219,2025-04-11,swebench_verified_mini_1744397462,evals_live/swebench_verified_mini_1744397462_UPLOAD_mapped_mapped.json,0.8448578133541655
swebench-verified-mini,SWE-Agent,claude-3-7-sonnet-20250219-thinking-low,0.5,489.0,swebench-verified-mini SWE-Agent claude-3-7-sonnet-20250219-thinking-low,swebench_verified_mini SWE-Agent (claude-3-7-sonnet-2025-02-19) claude-3-7-sonnet-20250219,2025-04-11,swebench_verified_mini_1744397462,evals_live/swebench_verified_mini_1744397462_UPLOAD_mapped_mapped.json,0.8474373742708854
swebench-verified-mini,SWE-Agent,gemini-2.0-flash,0.24,4.7,swebench-verified-mini SWE-Agent gemini-2.0-flash,swebench_verified_mini SWE-Agent (gemini-2.0-flash) gemini-2.0-flash,2025-04-13,swebench_verified_mini_1744505272,evals_live/swebench_verified_mini_1744505272_UPLOAD_mapped.json,0.9400868204348762
swebench-verified-mini,SWE-Agent,gpt-4.1-2025-04-14,0.44,393.0,swebench-verified-mini SWE-Agent gpt-4.1-2025-04-14,swebench_verified_mini SWE-Agent (gpt-4.1) gpt-4.1-2025-04-14,2025-04-15,swebench_verified_mini_my_agentgpt41_1744677207,evals_live/swebench_verified_mini_my_agentgpt41_1744677207_UPLOAD_mapped.json,0.9348729988771551
swebench-verified-mini,SWE-Agent,deepseek-ai/DeepSeek-V3,0.24,11.77,swebench-verified-mini SWE-Agent deepseek-ai/DeepSeek-V3,swebench_verified_mini SWE-Agent (deepseek-ai/DeepSeek-V3) deepseek-ai/DeepSeek-V3,2025-04-17,swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150,evals_live/swebench_verified_mini_my_agenttogether_aideepseekaideepseekv3_1744923150_UPLOAD_mapped.json,0.9392469522753237
swebench-verified-mini,SWE-Agent,deepseek-ai/DeepSeek-R1,0.0,4.164276,swebench-verified-mini SWE-Agent deepseek-ai/DeepSeek-R1,swebench_verified_mini SWE-Agent (deepseek-ai/DeepSeek-R1) deepseek-ai/DeepSeek-R1,2025-04-21,swebench_verified_mini_my_agenttogether_aideepseekaideepseekr1_1745262492,evals_live/swebench_verified_mini_my_agenttogether_aideepseekaideepseekr1_1745262492_UPLOAD_mapped.json,0.9427196338889097
swebench-verified-mini,HAL Generalist Agent,o3-mini-2025-01-31-high,0.0,,swebench-verified-mini HAL Generalist Agent o3-mini-2025-01-31-high,swebench_verified_mini HAL Generalist Agent (o3-mini-2025-01-31 high) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_o3mini20250131_high_1744606601,evals_live/swebench_verified_mini_hal_generalist_agent_o3mini20250131_high_1744606601_UPLOAD_mapped.json,0.9455245935478453
swebench-verified-mini,HAL Generalist Agent,o3-mini-2025-01-31-low,0.0,,swebench-verified-mini HAL Generalist Agent o3-mini-2025-01-31-low,swebench_verified_mini HAL Generalist Agent (o3-mini-2025-01-31 low) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516,evals_live/swebench_verified_mini_hal_generalist_agent_o3mini20250131_low_1744603516_UPLOAD_mapped.json,0.9447371264968836
swebench-verified-mini,HAL Generalist Agent,claude-3-7-sonnet-20250219,,,swebench-verified-mini HAL Generalist Agent claude-3-7-sonnet-20250219,swebench_verified_mini HAL Generalist Agent (claude-3-7-sonnet-20250219) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_claude37sonnet20250219_1744644286,evals_live/swebench_verified_mini_hal_generalist_agent_claude37sonnet20250219_1744644286_UPLOAD.json,0.9277931899375252
swebench-verified-mini,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,,,swebench-verified-mini HAL Generalist Agent claude-3-7-sonnet-20250219-thinking-high,swebench_verified_mini HAL Generalist Agent (claude-3-7-sonnet-20250219) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_claude37sonnet20250219_1744644286,evals_live/swebench_verified_mini_hal_generalist_agent_claude37sonnet20250219_1744644286_UPLOAD.json,0.8732548679814642
swebench-verified-mini,HAL Generalist Agent,gemini-2.0-flash,,,swebench-verified-mini HAL Generalist Agent gemini-2.0-flash,swebench_verified_mini HAL Generalist Agent (gemini-2.0-flash) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_gemini20flash_1744635676,evals_live/swebench_verified_mini_hal_generalist_agent_gemini20flash_1744635676_UPLOAD_mapped.json,0.9345122493595801
swebench-verified-mini,HAL Generalist Agent,gpt-4.1-2025-04-14,,,swebench-verified-mini HAL Generalist Agent gpt-4.1-2025-04-14,swebench_verified_mini HAL Generalist Agent (gpt-4.1-2025-04-14) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_gpt4120250414_1744667697,evals_live/swebench_verified_mini_hal_generalist_agent_gpt4120250414_1744667697_UPLOAD.json,0.94378868069311
swebench-verified-mini,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,,,swebench-verified-mini HAL Generalist Agent deepseek-ai/DeepSeek-V3,swebench_verified_mini HAL Generalist Agent (deepseek-ai/DeepSeek-V3) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_deepseekaideepseekv3_1744610459,evals_live/swebench_verified_mini_hal_generalist_agent_deepseekaideepseekv3_1744610459_UPLOAD_mapped.json,0.9391893877835528
swebench-verified-mini,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,,,swebench-verified-mini HAL Generalist Agent deepseek-ai/DeepSeek-R1,swebench_verified_mini HAL Generalist Agent (deepseek-ai/DeepSeek-R1) ,2025-04-14,swebench_verified_mini_hal_generalist_agent_deepseekaideepseekr1_1744619918,evals_live/swebench_verified_mini_hal_generalist_agent_deepseekaideepseekr1_1744619918_UPLOAD_mapped.json,0.9403909438969407
